,Local Gov Name,Local Gov Logo,Atlas Admin Link
334,"Cabarrus County, NC",https://drive.google.com/file/d/15U4EmFaACUMUbTFnQaCXh5gjdw3c3BoQ/view?usp=sharing,https://the-atlas.com/admin/affiliations/334/edit
68,Economic development director for Washington County Ohio,,https://the-atlas.com/admin/affiliations/68/edit
1929,CAL Fire,https://drive.google.com/file/d/1DYiG3M4EG0vnmj4WskgdRSzNa5a6c5i5/view?usp=sharing,
1454,"Calcasieu Parish, LA",https://drive.google.com/file/d/1RGgSlI-GQTn8NN0EmN2djeGOpK7Cc5TE/view?usp=sharing,https://the-atlas.com/admin/affiliations/1454/edit
1885,California Governor's Office of Business and Economic Development,https://drive.google.com/file/d/1mD9xMpP0wTAA83bI4ywvX0WE3Z2Bv1Us/view?usp=sharing,https://the-atlas.com/admin/affiliations/1885/edit
1391,"City of Geelong, Australia",https://drive.google.com/file/d/1dLPdZgJ9tE5HWg5W6FyVSgN_8pf6CADx/view?usp=sharing,
1711,City of Hopkins,https://drive.google.com/file/d/1rCyzIq3EJabHAGbm8XTIlU3yJOel0lGC/view?usp=sharing,https://the-atlas.com/admin/affiliations/1711/edit
915,"City of Memphis, TN",https://drive.google.com/file/d/1ZEN8nII-bS_FlJmS1fc6xrFaclbAJHaa/view?usp=sharing,https://the-atlas.com/admin/affiliations/915/edit
919,"City of Mill Valley, CA",https://drive.google.com/file/d/1P7yAxjexVpZZyn2dxSLPJeKfjsEKisDt/view?usp=sharing,
1532,"City of Paso Robles, CA",https://drive.google.com/file/d/1JZ2-0F5kmrxbAAd70yfYMmyzdqZSTI0j/view?usp=sharing,
1927,"City of Mansfield, TX",Couldn't find,
1120,"Clay County, FL",,https://the-atlas.com/admin/affiliations/1120/edit
1247,"City of Hamburg, Germany",,
1531,"City of Topeka, KS",,https://the-atlas.com/admin/affiliations/1531/edit
912,"City of Grand Rapids, MI",,https://the-atlas.com/admin/affiliations/912/edit
1190,"City of Stockbridge, GA",,
901,"City of Edmonton, AB CAN",https://drive.google.com/file/d/1Zzz3WuXlUJcUACdDsTFrZ3DrPaCdGdi1/view?usp=sharing,https://the-atlas.com/admin/affiliations/901/edit
